site,date,sp_method,species,bin,count,nms
Middle West,3/16/07,sea_star,PISOCH,190,4,CINMS
Middle West,3/16/07,sea_star,PISOCH,200,1,CINMS
Middle West,3/16/07,sea_star,PISOCH,NM,195,CINMS
Middle West,3/16/07,sea_star,PISOCH,40,13,CINMS
Middle West,3/16/07,sea_star,PISOCH,50,35,CINMS
Middle West,3/16/07,sea_star,PISOCH,60,44,CINMS
Middle West,3/16/07,sea_star,PISOCH,70,55,CINMS
Middle West,3/16/07,sea_star,PISOCH,80,19,CINMS
Middle West,12/20/07,sea_star,PISGIG,NA,1,CINMS
Middle West,12/20/07,sea_star,PISOCH,90,25,CINMS
Middle West,12/20/07,sea_star,PISOCH,100,27,CINMS
Middle West,12/20/07,sea_star,PISOCH,110,18,CINMS
Middle West,12/20/07,sea_star,PISOCH,120,8,CINMS
Middle West,12/20/07,sea_star,PISOCH,130,3,CINMS
Middle West,12/20/07,sea_star,PISOCH,140,3,CINMS
Middle West,12/20/07,sea_star,PISOCH,150,1,CINMS
Middle West,12/20/07,sea_star,PISOCH,160,5,CINMS
Middle West,12/20/07,sea_star,PISOCH,170,3,CINMS
Middle West,12/20/07,sea_star,PISOCH,180,1,CINMS
Middle West,12/20/07,sea_star,PISOCH,NM,409,CINMS
Middle West,12/20/07,sea_star,PISOCH,50,2,CINMS
Middle West,12/20/07,sea_star,PISOCH,60,3,CINMS
Middle West,12/20/07,sea_star,PISOCH,70,4,CINMS
Middle West,12/20/07,sea_star,PISOCH,80,9,CINMS
Middle West,3/4/08,sea_star,PISOCH,90,20,CINMS
Middle West,3/4/08,sea_star,PISOCH,100,21,CINMS
Middle West,3/4/08,sea_star,PISOCH,110,12,CINMS
Middle West,3/4/08,sea_star,PISOCH,120,8,CINMS
Middle West,3/4/08,sea_star,PISOCH,130,9,CINMS
Middle West,3/4/08,sea_star,PISOCH,140,1,CINMS
Middle West,3/4/08,sea_star,PISOCH,150,1,CINMS
Middle West,3/4/08,sea_star,PISOCH,160,4,CINMS
